product_name,price,barcode
JEUNE POUSSE MIX,1.69,5400111236474
200GR EPINARD JEU,1.99,5400111236481
AVOCAT,0.36,0450013907142
AVOCAT,1.45,5400119569244
205 ST OAL BIO,4.99,5600519146171
2025 GINGER BIO,4.99,5600523019762
2065 PEHL NEW BIO,4.99,5600515141411
205 POISSA RELAX BIO,4.99,5600523010366
200GR EPINARD JEU,1.99,5400111236481
MERCERENSTOK.GROO,2.79,5410686003855
SERVIETTE PAQUES,2.79,4014991519055
MERCERENSTOK.GROO,2.79,5410686003855
HMC SERVIETTE 33CM,2.79,4014991519055
HMC SERVIETTE 33CM,2.79,4014991519055
HMC COR,3.75,204585
CIBOULETTE BIO,4.90,5400119575939
WASABI GREEN 400G,4.99,5420034666959
DLL CREME LL,4.35,5400119522425
500G COUSCOUS PERL,4.99,5400119522425
GUACAMOLE DOUX,4.99,5400112300024
GUACAMOLE DOUX,4.99,5400112300024
500G PEST AL EBR,4.99,8720791222451
250G PEST BASIL,4.99,8720791222851
HET TRAAGSTE BROOD,4.90,5400112300024
MERCERENSTOK.GROO,2.79,5410686003855
HET TRAAGSTE BROOD,4.90,5400112300024
MERCERENSTOK.GROO,2.79,5410686003855
NOISETTES D AGNEAU,9.31,2048859009315
NOISETTES D AGNEAU,8.14,2048859008141
NOISETTES D AGNEAU,8.82,2048852006663
NOISETTES D AGNEAU,8.82,2048852006663
TOMATE CERISE GRAP,4.99,5400119581911
