delhaize_name,action,pyfooda_name,llm_raw_name,grams
1 PATRON BUTTERNUT,match,BUTTERNUT SQUASH,BUTTERNUT SQUASH,
"1,005 KG X 3,79/ KG",ignore,,,1005.0
"1,125 KG X 1,95/ KG",ignore,,,1125.0
"1,125 KG X 3,15/ KG",ignore,,,1125.0
"1,240 KG X 2,99/ KG",ignore,,,1240.0
"1,25 KG X",ignore,,,1250.0
"1,640 KG X",ignore,,,1640.0
1.25MARTYD,ignore,,,
1.5KG SINASAPPEL PA,ignore,,,1500.0
1.5L COCA REG PET,ignore,,,1500.0
1.5L GINI LEMON,match,"LEMON-LIME SODA, LEMON-LIME","LEMON-LIME SODA, LEMON-LIME",1500.0
1.5L SCHWEPP MOJIT,ignore,,,1500.0
1.5L SCHWEPPES TON,ignore,,,1500.0
1.5L VICHY CELEST,ignore,,,1500.0
10 M GEL LIEN FIX,ignore,,,
100G COTE D'OR PAI,ignore,,,100.0
100G DLF 4 BOUCHEE,ignore,,,100.0
100G MKA CHOC LAIT,ignore,,,100.0
100GR JERUSAPOUSS,ignore,,,100.0
100GR JEUNES POUS,match,MIXED GREENS,MIXED GREENS,100.0
100GR JEUNES POUSS,match,MIXED GREENS,MIXED GREENS,100.0
100ML MERC 70%ALC,ignore,,,100.0
10X18.5G YOERRY,ignore,,,185.0
120G BLINI LEG BIO,match,MINI BLINIS,MINI BLINIS,120.0
125G BOULES PAPRIK,ignore,,,125.0
125G BUGLES PAPRIK,ignore,,,125.0
125G CHIPS SEL,ignore,,,125.0
125G D365 MAQ TOUR,ignore,,,125.0
125G DLL CASSAVE,ignore,,,125.0
125G DLL CRAC A,ignore,,,125.0
125G EAGLES CHEESE,match,Cheese,,125.0
125G HUGLES CHEESE,match,Cheese,,125.0
125G HUGLES NATURE,ignore,,,125.0
125G HUGLES PAPRIK,ignore,,,125.0
125GR MESCLUN,match,MIXED GREENS,MIXED GREENS,125.0
12T KNOOR BOU POU,ignore,,,
132G B-READY T6,ignore,,,132.0
140G POUSE MIX,ignore,,,
140G ROCK SALT,match,SALT,SALT,140.0
15 DREFT ADM PLAT,ignore,,,
150G MILKA CHO TUT,ignore,,,150.0
150ML REX COB DRY,ignore,,,
150ML REX QUANT DR,ignore,,,150.0
16+,ignore,,,
160G FEVES DE SOJA,ignore,,,160.0
165G PRINGLES ORIG,ignore,,,165.0
"175GR CHICON GAST 3,00",ignore,,,175.0
175GR JEUNES POUSS,ignore,,,175.0
175GR JEUNES POUSSE,ignore,,,175.0
185G LAYS NATUREL,match,"LAY'S, POTATO CHIPS","LAY'S, POTATO CHIPS",185.0
185G LAYS PAPRIKA,ignore,,,
185G LAYS S&BL.DEP,ignore,,,185.0
185G LAYS S&BL.PEP,ignore,,,185.0
185G LAYS S&L.PEP,ignore,,,185.0
185G LAYS S4BL PEP,ignore,,,185.0
185G LAYS SABL.PEP,ignore,,,185.0
185G POIS CA,ignore,,,185.0
185G SM NACHO TORTILLA,match,TORTILLA,TORTILLA,185.0
185G TORTIL CHILI,ignore,,,
190G THIN ROMARIN,match,ROSEMARY,ROSEMARY,190.0
1KG FARINE FERMENT,ignore,,,1000.0
1KG TRESOR MILK,match,MILK,MILK,1000.0
1ST B'BETJIME BIO,ignore,,,
1TR CLASSIC BIO,ignore,,,
"2 X 1,99",ignore,,,
2 X 200G SM MINI TORTI,ignore,,,400.0
2 X AVOCAT,match,AVOCADO,AVOCADO,
20 F BECKMANN,ignore,,,
20 NO STRESS BIO,ignore,,,
200G DE INSTANT GO,ignore,,,200.0
200G DLL FOIS BIOL,ignore,,,200.0
200G DUUVIS CRAC A,ignore,,,200.0
200G DUVIES CRAC A,ignore,,,200.0
200G DUYVIS CRAAC A,ignore,,,200.0
200G DUYVIS CRAC A,ignore,,,200.0
200G MEDAILLON DE VEAU,match,GROUND VEAL,GROUND VEAL,200.0
200G NUTELLA,ignore,,,200.0
200G PETAIND JEU,ignore,,,200.0
200G SCROCCHI EP,ignore,,,200.0
200G SCROCHI EP,ignore,,,200.0
200G SM MINI TORTI,ignore,,,200.0
200GR EPINARD JEU,match,"Spinach, raw","Spinach, raw",200.0
200GR GUACAMOLE EP,match,GUACAMOLE,GUACAMOLE,200.0
200GR HOMMOUS,match,HOMMOUS DIP,HOMMOUS DIP,200.0
200GR HOUMOUS,match,HOMMUS,HOMMUS,200.0
200GR HUMOUS,ignore,,,200.0
200GR NOCE NOTEN,ignore,,,200.0
200GR. HOUMOUS,match,HUMMUS,HUMMUS,200.0
2025 GINGER BIO,match,GINGER,GINGER,
205 POISSA RELAX BIO,ignore,,,
205 ST OAL BIO,ignore,,,
2065 PEHL NEW BIO,ignore,,,
20CL CAPR-SUN TROP,ignore,,,200.0
2145,ignore,,,
220G PAIN,match,BREAD,BREAD,220.0
220G PAIN 8X,match,BREAD,BREAD,220.0
224G GAUF VANI CHO,ignore,,,224.0
24 DLI BOUGIES,ignore,,,
2400 G SANS GL/LAC,ignore,,,2400.0
240G GAUF VANI CHO,ignore,,,240.0
250G CRUNCHY BIO,ignore,,,250.0
250G DLI TORT RIC,ignore,,,250.0
250G DLL FRAISES,match,STRAWBERRIES,STRAWBERRIES,250.0
250G DLL FRAMBOISE,ignore,,,250.0
250G DLL MYRTILLES,ignore,,,250.0
250G DLL NICARAGUA,ignore,,,250.0
250G DLL TOA CHEST,ignore,,,250.0
250G DLL TOA ROMARIN,ignore,,,250.0
250G DLL TORI RIC,ignore,,,250.0
250G DLL TORRICOLO TOM,match,TOMATO,TOMATO,250.0
250G DLL TORT RIC,ignore,,,250.0
250G L28 BRAZIL,match,Brazil nuts,Brazil nuts,250.0
250G L28 INDONESIA,ignore,,,250.0
250G LAVAZZA ROMA,ignore,,,250.0
250G MKA MELO CAKE,match,Rice cake,Rice cake,250.0
250G NOCCIOLAT BIO,ignore,,,250.0
250G PATE TARTINER,ignore,,,
250G PEST BASIL,match,BASIL,BASIL,250.0
250G TORRICOLO TOM,match,TOMATO,TOMATO,250.0
250G TORTELLO TOM,match,TORTELLINI,TORTELLINI,250.0
250GR TOGRELLO TOM,match,TOMATO,TOMATO,250.0
250ML AXE SG MOJIT,ignore,,,250.0
250ML H.OLIVE CITR,match,OLIVES,OLIVES,250.0
250ML HO HERB ITAL,ignore,,,
250ML REAL MAYO SQ,match,REAL MAYO,REAL MAYO,250.0
255G DLL TOAST,ignore,,,255.0
25CL CORE ZERO PET,ignore,,,250.0
25G LIME GRILLS,match,LIMES,LIMES,25.0
28 TENA ULT MINI,ignore,,,
280G DLL ARTICH GR,ignore,,,280.0
286G FITNESS BAGUE,ignore,,,286.0
2PC MINI CAKE CHO,match,Rice cake,Rice cake,
2R DIL ESS TT DEC,ignore,,,
2X90G HAR. RO 0%SE,ignore,,,180.0
2X90G LENTIL 0%SEL,match,LENTILS,LENTILS,180.0
3 MOUSQUET NOIS BIO,ignore,,,
3 X 1.55,ignore,,,
300G COTE D OR PAT,ignore,,,300.0
300G DLL CARE PATE,ignore,,,
300G FLOC AVOI BIO,ignore,,,300.0
300G LECHE,match,Dulce de leche,Dulce de leche,300.0
300G LOTUS JUM GAU,match,"CHIN CHIN, RED BEAN SOUP WITH LOTUS SEED","CHIN CHIN, RED BEAN SOUP WITH LOTUS SEED",300.0
300G NUTELLA,ignore,,,300.0
300G POMME PINK LAD,match,APPLE,APPLE,300.0
