product_name,count,candidate,confidence,score,gap,query
HACHIS PORC-VEAU,72,"Bockwurst, pork, veal, raw",low,4.6154,0.2404,hachis pork veal
SAL BLE EMB 100GR,13,"HOT SAL'S, HOT",low,2.9167,0.0357,sal ble emb
DANONE ACT FRAISES,12,ORGANIC WHOLE STRAWBERRIES FRAISES,low,2.5385,0.0102,danone act fraises
200G MEDAILLON DE VEAU,9,"VEAL DEMI GLACE, VEAL",low,3.0946,0.039,medaillon de veal
100GR JEUNES POUSS,9,YOUNG CORN,low,3.1667,0.058,young pouss
MEDAILLON DE VEAU,8,"VEAL DEMI GLACE, VEAL",low,3.0946,0.039,medaillon de veal
500G SP K LAIT CHO,8,PAIN AU LAIT,low,3.06,0.0752,sp k lait cho
125GR MESCLUN,8,MESCLUN GOAT CHEESE SALAD,low,4.4375,0.096,mesclun
100GR JEUNES POUS,7,YOUNG CORN,low,3.2,0.0636,young pous
375G CHOCO LAIT,7,HOT CHOCO LATE,low,3.25,0.0132,choco lait
BOURSIN POIVRE,7,"BOURSIN, BASIL & CHIVE GOURNAY CHEESE",low,3.0,0.0111,boursin poivre
GAROF MOZZA BUFAL D,6,TOMATO & MOZZARELLA SALAD,low,2.7234,0.0123,garof mozzarella bufal d
SOMA MULTIGRAIN 40,6,"Oatmeal, multigrain",low,3.3485,0.0485,soma multigrain
CIBOULETTE BIO,6,CHIVES,low,4.75,0.05,chives bio
190G THIN ROMARIN,6,THIN MINTS,low,3.2273,0.1066,thin romarin
MINI BURGER LIMOUS,6,ARTISAN BURGER BUNS,low,3.1486,0.0,mini burger limous
TORTELLONI BASILI,6,TORTELLONI,low,3.2407,0.0896,tortelloni basili
FAIREBEL 1/2 E,6,,none,0.0,0.0,fairebel e
PETIT LION HOM NA,6,"FOOD LION, HOT SAUCE",low,2.5556,0.0056,petit lion hom na
SAN MARZANO,6,SAN MARZANO TOMATOES,low,5.7097,0.0626,san marzano
500G DE CECCO GNOC,5,"DE CECCO, LINGUINE",low,3.2333,0.0667,de cecco gnoc
CAMP FROM FR ENT,5,"Garlic bread, from frozen",low,2.6,0.0194,camp from fr ent
PDT GRENAILLE 1KG,5,,none,0.0,0.0,pdt grenaille
ORAL B PREC CL REF,5,ORAL CARE DRY MOUTH LOZENGES FRUIT MIX,low,2.3929,0.0532,oral b prec cl ref
200G SM MINI TORTI,5,,none,0.0,0.0,sm mini torti
PATE A PIZZA,5,PAN PIZZA,low,3.2619,0.0212,pate a pizza
SAUMON BELLE-VUE,5,"SWEET CORN, BELLE PEPPER & ONION",low,2.4889,0.0967,saumon belle vue
NOIR DE NOIR C OR,5,ORGANIC D'NOIR PRUNES,low,4.5789,0.0544,noir de noir c or
AUBEL BEURRE 500G,5,PETIT BEURRE BISCUIT,low,3.0,0.0385,aubel beurre
400G PATE NOI CRU,4,PATE WITH ONION,low,2.5185,0.0185,pate noi cru
SAUCISSE P&V,4,SAUCISSE DE SANGLIER,low,4.625,4.625,saucisse p v
AUBERGINES,4,AUBERGINES CAPONATA,low,4.6897,0.1897,aubergines
DLL OEUVS BIO MIX,4,DILL DIP MIX,low,2.6207,0.0053,dll oeuvs bio mix
