year,nutrient,unit,value_per_2500kcal_trip,drv,pct_drv
2023.0,Energy,KCAL,2500.0,2500.0,100.0
2023.0,Protein,G,95.734,160.0,59.8
2023.0,Carbohydrate,G,204.505,320.0,63.9
2023.0,Fiber,G,19.461,30.0,64.9
2023.0,"Sugars, Total",G,1.915,50.0,3.8
2023.0,Total fat,G,150.421,80.0,188.0
2023.0,"Fatty acids, total saturated",G,57.15,20.0,285.8
2023.0,Cholesterol,MG,623.95,300.0,208.0
2023.0,Calcium,MG,797.276,1000.0,79.7
2023.0,Iron,MG,10.102,10.0,101.0
2023.0,Magnesium,MG,88.066,420.0,21.0
2023.0,Potassium,MG,1783.893,3400.0,52.5
2023.0,Sodium,MG,2514.872,1500.0,167.7
2023.0,Zinc,MG,4.158,11.0,37.8
2023.0,"Vitamin A, RAE",UG,532.648,900.0,59.2
2023.0,Vitamin C,MG,88.081,90.0,97.9
2023.0,Vitamin D (D2 + D3),UG,1.057,20.0,5.3
2023.0,Vitamin B-12,UG,0.822,2.4,34.3
2023.0,"Folate, total",UG,149.292,400.0,37.3
2023.0,Thiamin,MG,0.196,1.2,16.3
2023.0,Riboflavin,MG,0.612,1.3,47.1
2024.0,Energy,KCAL,2500.0,2500.0,100.0
2024.0,Protein,G,96.482,160.0,60.3
2024.0,Carbohydrate,G,252.935,320.0,79.0
2024.0,Fiber,G,28.454,30.0,94.8
2024.0,"Sugars, Total",G,1.89,50.0,3.8
2024.0,Total fat,G,130.568,80.0,163.2
2024.0,"Fatty acids, total saturated",G,43.464,20.0,217.3
2024.0,Cholesterol,MG,321.137,300.0,107.0
2024.0,Calcium,MG,732.71,1000.0,73.3
2024.0,Iron,MG,13.564,10.0,135.6
2024.0,Magnesium,MG,81.373,420.0,19.4
2024.0,Potassium,MG,1888.82,3400.0,55.6
2024.0,Sodium,MG,2488.947,1500.0,165.9
2024.0,Zinc,MG,2.988,11.0,27.2
2024.0,"Vitamin A, RAE",UG,591.232,900.0,65.7
2024.0,Vitamin C,MG,91.143,90.0,101.3
2024.0,Vitamin D (D2 + D3),UG,0.452,20.0,2.3
2024.0,Vitamin B-12,UG,0.53,2.4,22.1
2024.0,"Folate, total",UG,127.681,400.0,31.9
2024.0,Thiamin,MG,0.266,1.2,22.2
2024.0,Riboflavin,MG,0.353,1.3,27.1
2025.0,Energy,KCAL,2500.0,2500.0,100.0
2025.0,Protein,G,88.543,160.0,55.3
2025.0,Carbohydrate,G,276.225,320.0,86.3
2025.0,Fiber,G,31.361,30.0,104.5
2025.0,"Sugars, Total",G,0.787,50.0,1.6
2025.0,Total fat,G,118.414,80.0,148.0
2025.0,"Fatty acids, total saturated",G,41.554,20.0,207.8
2025.0,Cholesterol,MG,327.532,300.0,109.2
2025.0,Calcium,MG,724.316,1000.0,72.4
2025.0,Iron,MG,12.382,10.0,123.8
2025.0,Magnesium,MG,117.035,420.0,27.9
2025.0,Potassium,MG,2200.068,3400.0,64.7
2025.0,Sodium,MG,2041.96,1500.0,136.1
2025.0,Zinc,MG,4.219,11.0,38.4
2025.0,"Vitamin A, RAE",UG,856.234,900.0,95.1
2025.0,Vitamin C,MG,94.685,90.0,105.2
2025.0,Vitamin D (D2 + D3),UG,0.541,20.0,2.7
2025.0,Vitamin B-12,UG,1.11,2.4,46.3
2025.0,"Folate, total",UG,216.322,400.0,54.1
2025.0,Thiamin,MG,0.498,1.2,41.5
2025.0,Riboflavin,MG,0.511,1.3,39.3
