product_name,price,barcode,date,source_file,llm_action,pyfooda_name,grams_in_name
185G LAYS S&BL.DEP,2.99,871039852442,2023-01-10,2023_01_10.csv,ignore,,nan
SERVIETTES 33CM,2.99,541293105848,2023-01-10,2023_01_10.csv,ignore,,nan
BIO ECHALOTE,4.29,5400112394040,2023-01-10,2023_01_10.csv,ignore,,nan
3X400G TOMAT PEL C,2.39,5400141953790,2023-01-10,2023_01_10.csv,ignore,,1200.0
500ML ERA SIRO BIO,2.99,5400113702995,2023-01-10,2023_01_10.csv,ignore,,500.0
50CC SQC CANE C FT,2.55,5400113719131,2023-01-10,2023_01_10.csv,match,SUGAR,nan
185G LAYS NATUREL,1.99,871039852408,2023-01-10,2023_01_10.csv,ignore,,nan
AVOCAT,2.78,5400115969242,2023-01-10,2023_01_10.csv,match,AVOCADO,nan
BASILIC EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,match,BASIL,nan
PERSIL EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,match,PARSLEY,30
SAN MARZANO,7.16,2021450007164,2023-01-10,2023_01_10.csv,match,TOMATO,nan
5G SM SAFFRAN,9.09,202145,2023-01-10,2023_01_10.csv,ignore,,5.0
70G PATE CURRY JAU,2.99,731131011470,2023-01-10,2023_01_10.csv,ignore,,nan
MINT-PIMENTS MIX,1.79,885440400022,2023-01-10,2023_01_10.csv,match,MINT,nan
MINT GRENAILLES 50,1.79,5400112318120,2023-01-10,2023_01_10.csv,match,MINT,nan
PROSC CRUDO ITALIA,8.89,5400112380313,2023-01-10,2023_01_10.csv,ignore,,nan
CITRON VERT,0.83,2022990000830,2023-01-10,2023_01_10.csv,match,LEMON,400
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,match,MANGO,nan
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,match,MANGO,nan
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,match,PESTO,nan
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,match,PESTO,nan
400G EXQUISE BAG,2.19,5400118210010,2023-10-21,2023_10_21.csv,match,BREAD,400
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,match,BREAD,nan
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,match,BREAD,nan
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,match,SALAMI,nan
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,match,SALAMI,nan
PLATEAU FAMIGLIA,9.99,5400119555144,2023-10-21,2023_10_21.csv,ignore,,nan
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,match,CHICKEN,nan
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,match,CHICKEN,nan
MYRTILLES 500GR,7.49,5400112321233,2023-10-21,2023_10_21.csv,ignore,,nan
FIGUE FRAICHE,0.92,5400112321571,2023-10-21,2023_10_21.csv,match,CREME FRAICHE,nan
FRAMBOIS 125G,2.99,5400112321571,2023-10-21,2023_10_21.csv,ignore,,nan
FRAISE 500G,4.99,5400357650010,2023-10-21,2023_10_21.csv,match,STRAWBERRY,500.0
BIO BANANEN,2.59,4014071925871,2023-10-21,2023_10_21.csv,ignore,,nan
CITRONS,0.56,2013,2023-10-21,2023_10_21.csv,match,LEMON,500
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,match,CHOCOLATE,75
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,match,CHOCOLATE,75
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,match,CHOCOLATE,75
HET TRAAGSTE BROOD,4.0,5430000017739,2023-10-25,2023_10_25.csv,match,BREAD,nan
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,ignore,,nan
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,ignore,,nan
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,ignore,,nan
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,ignore,,nan
DRAAIGATS,0.99,501830250506,2023-10-25,2023_10_25.csv,ignore,,nan
MANDARINES,1.39,501830250506,2023-10-25,2023_10_25.csv,ignore,,nan
"1,640 KG X",,"2,63",2023-10-25,2023_10_25.csv,ignore,,1640.0
BIO BANANEN,2.59,401407169271,2023-10-25,2023_10_25.csv,ignore,,nan
GALBANI MOZZA 125G,1.99,8000430135266,2023-10-25,2023_10_25.csv,ignore,,nan
CHOUX CHINOIS,1.98,5410011236410,2023-10-25,2023_10_25.csv,ignore,,nan
AVOCAT,1.39,6 x,2023-10-25,2023_10_25.csv,match,AVOCADO,nan
AVANTAGES,2.49,540011595624,2023-10-25,2023_10_25.csv,ignore,,nan
6PC POMME PINK LAD,2.49,5449147400141,2023-10-25,2023_10_25.csv,match,APPLE,900
COURGETTES,2.49,"2,49/ Kg",2023-10-25,2023_10_25.csv,match,ZUCCHINI,nan
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,match,MANGO,nan
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,match,MANGO,nan
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,match,MANGO,nan
TRAITEUR,4.66,540011954346,2023-10-25,2023_10_25.csv,ignore,,nan
MOZZARELLA MAXI,2.65,0500000004699,2023-10-25,2023_10_25.csv,match,MOZZARELLA CHEESE,nan
DLI PIZZA MARGH,4.99,8000430135266,2023-10-25,2023_10_25.csv,match,PIZZA SAUCE,nan
PIZZA MOZZA PESTO,4.99,540011594988,2023-10-25,2023_10_25.csv,match,PESTO,nan
MEERGRANENSTOKB.GROO,2.05,540011595623,2023-10-25,2023_10_25.csv,ignore,,nan
BRUIN STOKBROOD KLEI,1.75,5410683808851,2023-10-25,2023_10_25.csv,ignore,,nan
MOZZARELLA MAXI,2.65,8000430135266,2023-10-25,2023_10_25.csv,match,MOZZARELLA CHEESE,nan
MEGA CRUNCHY CREAM,2.99,7612100001847,2023-10-25,2023_10_25.csv,match,CREAM,nan
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,match,CREME FRAICHE,200.0
JAMBON DE FERME,4.13,2205501104316,2023-10-25,2023_10_25.csv,ignore,,nan
600G PM DUCH DIL,0.95,540011595108,2023-10-25,2023_10_25.csv,ignore,,600.0
KAKI 4P,3.99,540011595107,2023-10-25,2023_10_25.csv,ignore,,nan
HERTA BLINIS 2KG,2.99,3154230081325,2023-10-25,2023_10_25.csv,ignore,,2000.0
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,match,BACON,200
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,match,BACON,200
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,match,BACON,200
1.5L VICHY CELEST,1.45,310322106551,2023-10-25,2023_10_25.csv,ignore,,1500.0
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,match,CREME FRAICHE,200.0
500G SP 3X LAIT CHO,5.49,505399105975,2023-10-25,2023_10_25.csv,ignore,,500.0
SAL. PRINTANIERE /J,1.95,540011229860,2023-10-25,2023_10_25.csv,ignore,,nan
