product_name,price,barcode
365 HARICOTS V COU,1.29,540060101024
450G QUAK MEUS NOI,4.99,8710398507142
450G QUAK MUE MULT,3.99,8710398503244
75 NUVOOLA 19R BIO,15.98,540011755368
40G DLL PATE NOI,2.55,540011369649
400G PATE NOI CRU,3.45,540011369650
21EME A 1/2 PRIX,-1.5,540011369650
400G PATE NOI CRU,3.45,540011369650
21EME A 1/2 PRIX,-0.23,540011369650
400G DLL PATE NOI,2.55,540011369649
21EME A 1/2 PRIX,-1.27,540011369650
2 x,0.95,501520032506
KIWI GROEN XL 4 STUK,4.65,541174000844
185G LAYS S4BL PEP,1.99,871039852422
LAISE NATUREL,2.09,871039852408
3X200G THON NATURE,3.65,540011365642
125G D365 MAQ TOUR,1.25,540011365658
125G D365 MAQ TOUR,1.25,540011365658
HET TRAGSTE BROOD P,4.5,543000017740
250G CRUNCHY BIO,4.79,805257509042
365 HARICOTS V COU,1.29,540060101024
FRAISES FANTIER,8.69,54002728016
NUTRI-BOOST -10%,-0.86,543000017740
HET TRAGSTE BROOD P,4.5,543000017740
DLL OEUFS BIO MIX,2.95,540011210790
NUTRI-BOOST -10%,-0.3,540011210790
BIO CAROTTES,2.39,540011239500
NUTRI-BOOST -10%,-0.24,540011210790
LINDT EXCELLENCE,2.39,304692002836
LINDT EXCELLENCE,2.39,304692002836
"0,600 Kg x",5.49,2145
NUTRI-BOOST -10%,-0.33,540011239500
BIO CAROTTES,2.39,540011239500
NUTRI-BOOST -10%,-0.24,540011210790
LINDT EXCELLENCE,2.39,304692002836
LINDT EXCELLENCE,2.39,304692002836
2145,2.49,8710398502039
NUTRI-BOOST -10%,-0.25,540011210790
BIO BANANEN,2.59,401407169271
AVOCAT,0,2205567007051
4 x,1.89,540011956824
NUTRI-BOOST -10%,-0.76,540011956824
6PC POMME PINK LAD,3.99,370047661163
NUTRI-BOOST -10%,-0.4,370047661163
6PC POMME PINK LAD,3.99,370047661163
NUTRI-BOOST -10%,-0.4,370047661163
DES DE POULET,7.05,2205567007235
DES DE POULET,7.23,2205567007235
21EME A 1/2 PRIX,-3.57,2205567007204
DES DE POULET,7.05,2205567007235
21EME A 1/2 PRIX,-0.04,2205567007181
DES DE POULET,7.18,2205567007235
21EME A 1/2 PRIX,-3.56,2205567007051
DES DE POULET,7.05,2205567007235
21EME A 1/2 PRIX,-3.58,2205567007297
DES DE POULET,7.29,2205567007235
JAMBON A L OS AUTH,4.62,2208488
JAMBON A L OS AUTH,4.71,2208488
JAMBON A L OS AUTH,4.68,2208488
JAMBON A L OS AUTH,4.65,2208488
JAMBON A L OS AUTH,4.65,2208488
JAMBON A L OS AUTH,4.68,2208488
BOURSIN POIVRE,3.85,317546000006
BOURSIN POIVRE,3.85,317546000006
PHILADELPHIA ORIGI,3.15,762221095556
PETIT LION HOM NA,1.29,540011960123
PETIT LION HOM NA,1.29,540011960123
PETIT LION HOM NA,1.29,540011960123
2+1 GRATUIT,-1.29,540011210050
DLH BEURRE BIO,3.19,540011210050
AUBEL BEURRE 500G,8.79,541060301789
