product_name,price,barcode
FAIREBEL 1/2 E,8.09,542502728002
6X25CL JUPILER BAS,5.45,541022821134
6X25CL JUPILER 0.6E,0.6,217000000081
6X33CL SCHWEPPES M,6.59,312448018743
PDT GRENAILLE 1KG,2.89,540011237842
75 ROSE MONTAUR18R,5.99,330329290581
140G ROCK SALT,5.75,731131026797
TELLICHERRY PEPPER,5.55,731131026807
125G DLL CRAC A,1.95,871033801154
BIO PITTEMIX 150G,4.65,542003641609
DLL BIO CREME GLAC,5.39,540011365652
DLL BIO FT CREME G,5.39,540011365653
DLL BIO CREME GLAC,5.39,540011365654
185G TORTIL CHILI,3.29,841007648176
75G CHIPS POIS BIO,1.85,540011366773
140G POUSE MIX,1.49,540011238574
PDT GRENAILLE 1KG,2.89,540011237842
JEUNE POUSE MIX,1.49,540011238574
ECHAUTES 500G,1.09,540011238009
200GR EPINARD JEU,1.99,540011235182
125G DLL CASSAVE,1.19,540011368464
6X1L SANPELLEGRINO,5.25,800227004489
MANGUE,0.0,2036
2 x AVOCAT,4.38,540011954346
4 x 1L APEROL,5.8,800223000001
BIO BANANEN,2.59,40140716271
CAROTTES BIO,2.39,540011235900
POIVRONS ROUGES,0.91,2036
OLIVE DENOYA 130G,2.49,540011957834
200GR HOUMOUS,2.19,540011238642
200GR HOUMOUS,2.19,540011238642
200G SCROCHI EP,2.29,871224722942
TOMATE CERISE GRAP,4.49,540011958191
TOMATE CERISE GRAP,4.49,540011958191
JAMBON DEGRAISSE,3.85,2208132
JAMBON DEGRAISSE,3.85,2208132
NUTRI-BOOST -10%,-5.44,0450000207142
