product_name,price,barcode,date,source_file,pyfooda_name,grams_in_name,llm_action
185G LAYS S&BL.DEP,2.99,871039852442,2023-01-10,2023_01_10.csv,Lays Garlic 1.5z,185.0,match
SERVIETTES 33CM,2.99,541293105848,2023-01-10,2023_01_10.csv,,,ignore
BIO ECHALOTE,4.29,5400112394040,2023-01-10,2023_01_10.csv,"Shallots, raw",,match
3X400G TOMAT PEL C,2.39,5400141953790,2023-01-10,2023_01_10.csv,,,ignore
500ML ERA SIRO BIO,2.99,5400113702995,2023-01-10,2023_01_10.csv,PERRIER PET 500ML,,match
50CC SQC CANE C FT,2.55,5400113719131,2023-01-10,2023_01_10.csv,C LOAF,,match
185G LAYS NATUREL,1.99,871039852408,2023-01-10,2023_01_10.csv,Lays Garlic 1.5z,185.0,match
AVOCAT,2.78,5400115969242,2023-01-10,2023_01_10.csv,"Avocados, raw, all commercial varieties",,match
BASILIC EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,"Basil, fresh",,match
PERSIL EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,"Parsley, fresh",,match
SAN MARZANO,7.16,2021450007164,2023-01-10,2023_01_10.csv,"tomatoes, crushed, canned, salt added",,match
5G SM SAFFRAN,9.09,202145,2023-01-10,2023_01_10.csv,,,ignore
70G PATE CURRY JAU,2.99,731131011470,2023-01-10,2023_01_10.csv,CURRY,70.0,match
MINT-PIMENTS MIX,1.79,885440400022,2023-01-10,2023_01_10.csv,MIX,,match
MINT GRENAILLES 50,1.79,5400112318120,2023-01-10,2023_01_10.csv,MINT,,match
PROSC CRUDO ITALIA,8.89,5400112380313,2023-01-10,2023_01_10.csv,PROSCIUTTO CRUDO,,match
CITRON VERT,0.83,2022990000830,2023-01-10,2023_01_10.csv,"Lime, raw",,match
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,MANGO,,match
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,MANGO,,match
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,MOZZARELLA & PESTO PIZZA,,match
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,MOZZARELLA & PESTO PIZZA,,match
400G EXQUISE BAG,2.19,5400118210010,2023-10-21,2023_10_21.csv,,,ignore
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,,,ignore
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,,,ignore
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,,,ignore
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,,,ignore
PLATEAU FAMIGLIA,9.99,5400119555144,2023-10-21,2023_10_21.csv,,,ignore
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,CHICKEN SALAD,,match
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,CHICKEN SALAD,,match
MYRTILLES 500GR,7.49,5400112321233,2023-10-21,2023_10_21.csv,,,ignore
FIGUE FRAICHE,0.92,5400112321571,2023-10-21,2023_10_21.csv,CREME FRAICHE,,match
FRAMBOIS 125G,2.99,5400112321571,2023-10-21,2023_10_21.csv,"Raspberries, raw",125.0,match
FRAISE 500G,4.99,5400357650010,2023-10-21,2023_10_21.csv,"Strawberries, raw",500.0,match
BIO BANANEN,2.59,4014071925871,2023-10-21,2023_10_21.csv,"Banana, raw",,match
CITRONS,0.56,2013,2023-10-21,2023_10_21.csv,"Lemon, raw",,match
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
HET TRAAGSTE BROOD,4.0,5430000017739,2023-10-25,2023_10_25.csv,,,ignore
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS,,match
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS,,match
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS,,match
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS,,match
DRAAIGATS,0.99,501830250506,2023-10-25,2023_10_25.csv,,,ignore
MANDARINES,1.39,501830250506,2023-10-25,2023_10_25.csv,TANGERINE,,match
"1,640 KG X",,"2,63",2023-10-25,2023_10_25.csv,,,ignore
BIO BANANEN,2.59,401407169271,2023-10-25,2023_10_25.csv,"Banana, raw",,match
GALBANI MOZZA 125G,1.99,8000430135266,2023-10-25,2023_10_25.csv,"Cheese, Mozzarella, part skim",125.0,match
CHOUX CHINOIS,1.98,5410011236410,2023-10-25,2023_10_25.csv,"Cabbage, Chinese, raw",,match
AVOCAT,1.39,6 x,2023-10-25,2023_10_25.csv,"Avocados, raw, all commercial varieties",,match
AVANTAGES,2.49,540011595624,2023-10-25,2023_10_25.csv,,,ignore
6PC POMME PINK LAD,2.49,5449147400141,2023-10-25,2023_10_25.csv,"POSTOBON, SODA, POMME MELA APPLE",,match
COURGETTES,2.49,"2,49/ Kg",2023-10-25,2023_10_25.csv,"Squash, zucchini, raw",,match
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,MANGO,,match
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,MANGO,,match
MANGUE,1.89,2160,2023-10-25,2023_10_25.csv,MANGO,,match
TRAITEUR,4.66,540011954346,2023-10-25,2023_10_25.csv,,,ignore
MOZZARELLA MAXI,2.65,0500000004699,2023-10-25,2023_10_25.csv,MOZZARELLA,,match
