delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
"0,600 KG X",0 600 kg x,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
"0,870 KG X",0 870 kg x,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
"0,965 KG X",0 965 kg x,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
1 PATRON BUTTERNUT,1 patron butternut,"BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT",False
"1,005 KG X 3,79/ KG",1 005 kg x 3 79 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
"1,125 KG X 1,95/ KG",1 125 kg x 1 95 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
"1,125 KG X 3,15/ KG",1 125 kg x 3 15 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
"1,240 KG X 2,99/ KG",1 240 kg x 2 99 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
"1,25 KG X",1 25 kg x,"Knot, Garlic, 1.0 oz., 2.5 x 1","Pancake, Bites, Poffitz, Bulk, 1.75 x 1",112 MINI CONE NEUTRAL SESAME 3 x 1,False
"1,640 KG X",1 640 kg x,"Knot, Garlic, 1.0 oz., 2.5 x 1","Pancake, Bites, Poffitz, Bulk, 1.75 x 1",112 MINI CONE NEUTRAL SESAME 3 x 1,False
1.25MARTYD,1 25martyd,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,False
1.5KG SINASAPPEL PA,1 sinasappel pa,Gold'N'Spice PA Fillet,J-Crumb PA Tender,Original PA Fillet NAE,False
1.5L COCA REG PET,1 coca reg pet,PERRIER PET 500ML,PRECKD REG ENDS 2/5#,PRECKD REG RTS 300SL,False
1.5L GINI LEMON,1 gini lemon,1 LITER BOTTLE LEMON SELTZER,1 LITER BOTTLE LEMON SELTZER,LEMON,False
1.5L SCHWEPP MOJIT,1 schwepp mojit,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,False
1.5L SCHWEPPES TON,1 tonic water ton,1 LITER BOTTLE TONIC WATER,1 LITER BOTTLE TONIC WATER,1 LITER BOTTLE TONIC WATER WITH LIME,False
1.5L VICHY CELEST,1 vichy celest,1 LITER BOTTLE VICHY WATER,1 LITER BOTTLE VICHY WATER,1 TO 1 BAKING FLOUR,False
10 M GEL LIEN FIX,10 m gel lien fix,"CHEESE FIX SNACK MIX, CHEESE FIX","CHEESE FIX SNACK MIX, CHEESE FIX","DR. M SODA, DR. M",False
100G COTE D'OR PAI,cote d or pai,"COTE D'OR, BELGIAN DARK CHOCOLATE",SUSHI COMBO D,VITAMIN D MILK,False
100G DLF 4 BOUCHEE,dlf 4 bouchee,"4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE SAUCE, 4 CHEESE",False
100G MKA CHOC LAIT,mka choc milk,MILK CHOC MLNO,6OZ MILANO MILK CHOC,SB MILK CHOC CHUNK,False
100GR JERUSAPOUSS,100gr jerusapouss,,,,False
100GR JEUNES POUS,100gr jeunes pous,,,,False
100GR JEUNES POUSS,100gr jeunes pouss,,,,False
100ML MERC 70%ALC,merc 70 alc,"Turkey Marsala, 70 OZ","Turkey Marsala, 70 OZ",CADBURY CHOCOLATE PIECES BUTTONS 70 GR,False
10X18.5G YOERRY,10x18 yoerry,,,,False
120G BLINI LEG BIO,blini leg bio,"LEG IMITATION CRAB, LEG",ZOO BIO PASTA,"LEG STYLE IMITATION CRAB, LEG STYLE",False
125G BOULES PAPRIK,boules paprik,ALL NATURAL SOUP BOULES,,,False
125G BUGLES PAPRIK,bugles paprik,Bugles Ranch CrnSncks,Bugles Ranch CrnSncks,Bugles Bold BBQ CrnSncks,False
125G CHIPS SEL,potato chips salt,NO SALT POTATO CHIPS,POTATO CHIPS SEA SALT,SEA SALT POTATO CHIPS,False
125G D365 MAQ TOUR,d365 maq tour,WORLD TOUR CANDY FAN,THE CHOCOLATE ICE CREAM TOUR,THE ICE CREAM TOUR CUPS,False
125G DLL CASSAVE,dll cassave,,,,False
125G DLL CRAC A,dll crac a,A,GRADE A,A COMPLETE BREAKFAST,False
125G EAGLES CHEESE,eagles cheese,PHILADELPHIA EAGLES BEEF FRANKS,PHILADELPHIA EAGLES BEEF FRANKS,CHEESE,False
125G HUGLES CHEESE,hugles cheese,CHEESE,CHEESE,CHEESE,False
125G HUGLES NATURE,hugles nature,NATURE FLAVORED WATER,NATURE TRAIL MIX,"NATURE BLESSED, BROCCOLI FLORETS",False
125G HUGLES PAPRIK,hugles paprik,,,,False
125GR MESCLUN,125gr mesclun,MESCLUN GOAT CHEESE SALAD,MESCLUN GOAT CHEESE SALAD,FRESH TOMATO & MOZZARELLA ON MESCLUN,False
12T KNOOR BOU POU,12t knoor bou pou,US MAGGI Bou Chicken Cubes 128ct,,,False
132G B-READY T6,b ready t6,"DR. B SODA, DR. B","DR. B SODA, DR. B","DR. B SODA, DR. B",False
140G POUSE MIX,pouse mix,MIX,MIX,MIX,False
140G ROCK SALT,rock salt,PINK ROCK SALT,ROCK ICE SALT,ROCK PINK SALT,False
15 DREFT ADM PLAT,15 dreft adm plat,"15 GRAIN BREAD, 15 GRAIN",15 BEAN SOUP,15 BEAN SOUP,False
15% REDUCTION,15 reduction,BALSAMIC REDUCTION,BALSAMIC REDUCTION,BALSAMIC REDUCTION SONOMA,False
150G MILKA CHO TUT,milka cho tut,MILKA CHOCOLATE,MILKA CHOCOLATE,HOT SAUCE PIMENT CHO,False
150ML REX COB DRY,rex cob dry,PURPLESAURUS REX FLAVORED DRINK,BROOKLYN COB,COB CORN,False
