product_name,price,barcode,date,source_file,pyfooda_match
185G LAYS S&BL.DEP,2.99,871039852442,2023-01-10,2023_01_10.csv,POTATO CHIPS
SERVIETTES 33CM,2.99,541293105848,2023-01-10,2023_01_10.csv,
BIO ECHALOTE,4.29,5400112394040,2023-01-10,2023_01_10.csv,ZOO BIO PASTA
3X400G TOMAT PEL C,2.39,5400141953790,2023-01-10,2023_01_10.csv,C LOAF
500ML ERA SIRO BIO,2.99,5400113702995,2023-01-10,2023_01_10.csv,ZOO BIO PASTA
50CC SQC CANE C FT,2.55,5400113719131,2023-01-10,2023_01_10.csv,C LOAF
185G LAYS NATUREL,1.99,871039852408,2023-01-10,2023_01_10.csv,"AU NATUREL PURE HONEY GRANOLA, AU NATUREL"
AVOCAT,2.78,5400115969242,2023-01-10,2023_01_10.csv,AVOCADO
BASILIC EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,ZOO BIO PASTA
PERSIL EN POT BIO,2.99,5400113727644,2023-01-10,2023_01_10.csv,ZOO BIO PASTA
SAN MARZANO,7.16,2021450007164,2023-01-10,2023_01_10.csv,SAN MARZANO TOMATOES
5G SM SAFFRAN,9.09,202145,2023-01-10,2023_01_10.csv,Dill Plank Sm 3/16
70G PATE CURRY JAU,2.99,731131011470,2023-01-10,2023_01_10.csv,CURRY
MINT-PIMENTS MIX,1.79,885440400022,2023-01-10,2023_01_10.csv,"MINT MIX SUGARFREE GUM, MINT MIX"
MINT GRENAILLES 50,1.79,5400112318120,2023-01-10,2023_01_10.csv,MINT
PROSC CRUDO ITALIA,8.89,5400112380313,2023-01-10,2023_01_10.csv,PROSCIUTTO CRUDO
CITRON VERT,0.83,2022990000830,2023-01-10,2023_01_10.csv,HARICOT VERT
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,MANGO
MANGUE,1.89,5400119543464,2023-10-21,2023_10_21.csv,MANGO
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,MOZZARELLA & PESTO PIZZA
PIZZA MOZZA PESTO,5.19,5400119549643,2023-10-21,2023_10_21.csv,MOZZARELLA & PESTO PIZZA
400G EXQUISE BAG,2.19,5400118210010,2023-10-21,2023_10_21.csv,BAG O POPS
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,P & P LOAF
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-21,2023_10_21.csv,P & P LOAF
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,8 S/L ROSETTE AND BALLOON GOLD CAKE
ROSETTE,3.98,2205500037980,2023-10-21,2023_10_21.csv,8 S/L ROSETTE AND BALLOON GOLD CAKE
PLATEAU FAMIGLIA,9.99,5400119555144,2023-10-21,2023_10_21.csv,FAMIGLIA PIZZA SAUCE
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,CHICKEN SALAD SUB ROLL W/ LETTUCE & TOMATO
SALADE POULET,2.19,5400119563113,2023-10-21,2023_10_21.csv,CHICKEN SALAD SUB ROLL W/ LETTUCE & TOMATO
MYRTILLES 500GR,7.49,5400112321233,2023-10-21,2023_10_21.csv,BLUEBERRY
FIGUE FRAICHE,0.92,5400112321571,2023-10-21,2023_10_21.csv,CREME FRAICHE
FRAMBOIS 125G,2.99,5400112321571,2023-10-21,2023_10_21.csv,
FRAISE 500G,4.99,5400357650010,2023-10-21,2023_10_21.csv,STRAWBERRY
BIO BANANEN,2.59,4014071925871,2023-10-21,2023_10_21.csv,ZOO BIO PASTA
CITRONS,0.56,2013,2023-10-21,2023_10_21.csv,LEMON
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,MIKADO BISCUIT STICKS MILK CHOCOLATE
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,MIKADO BISCUIT STICKS MILK CHOCOLATE
MIKADO CHOC LAIT,2.15,3017760363339,2023-10-21,2023_10_21.csv,MIKADO BISCUIT STICKS MILK CHOCOLATE
HET TRAAGSTE BROOD,4.00,5430000017739,2023-10-25,2023_10_25.csv,
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS
ZIJNE 1/2 PRIX,-2.25,,2023-10-25,2023_10_25.csv,2 IN 1 SPOUT SPRINKLE MIX
NUGGETS,4.49,761328742432,2023-10-25,2023_10_25.csv,NUGGETS
