product_name,price,barcode
FAIRBEL 1/2 E,8.09,542502728002
MEERGRANENSTOKB.GROO,2.05,594
MEERGRANENSTOKB.GROO,2.05,594
D&L MAYO TD,1.25,540011305084
500ML HEINZ KETCH,2.89,871570012217
ORANGES 4P,2.89,540011233642
SOMI MULTIGRAIN 40,2.29,871089200239
SOMI MULTIGRAIN 40,2.29,871089200239
K&K 40%,2.19,540011555397
RAISIN MLK 500G,4.95,540011559756
KIWI GOLD,4.45,204904300767
FILET PUR DE DORC,7.66,204907490487
FILET PUR DE DORC,7.48,204914
POMMES DROLES,3.98,541147400141
6PC POMME PINK LAD,3.98,541147400141
6PC POMME PINK LAD,3.98,541147400141
250G TORTELLO TOM,2.59,540011597537
250G TORTELLO TOM,2.59,540011597537
TOMATES GRAPPE,2.99,2523
DIKKE AJUIN,3.83,9991
MANGUE,5.67,540011954346
HACHIS PORC-VEAU,10.52,204804101052
HACHIS PORC-VEAU,10.78,204804110781
MOZZARELLA MAXI,2.65,800043031526
400G NUTELLA,3.99,301762042200
MOZZARELLA MAXI,2.65,800043031526
PAMPLEMOUSSE ROUGE,3.99,2160
COURGETTES,2.95,2523
AVOCAT,6.95,540011595624
D&L BEURRE BIO,3.19,540011210050
PRESID BEURRE 250G,4.69,322802201509
200GR. HOUMOUS,1.99,540011238642
BIO BANANEN,2.59,401407169271
