product_name,price,barcode
RAISIN ROUGE SA PE,2.79,540011233672
APPRE PINEA LADY 6P,3.99,3776666666
CHIQUITA C BANANES,1.72,2004
100GR JEUNES POUSS,1.19,540011233672
BOURSIN POIVRE,4.09,317546000006
CHAVROUX 150GR,2.49,327227001624
390G VERMICEL LAIT,4.69,8719611348
SHERBET 1L,5.99,871762913016
BURGER ANGUS,5.0,540011960558
BURGER ANGUS,5.0,540011960558
CITRON 500G,1.09,540011960558
350G CACAH/CACAO,3.99,360858015659
6 PAINS HAMBURGER,1.19,540011285200
AVOCAT,4.35,540011956924
MANDARINES A FEUIL,4.51,2016
COURGETTES,2.46,2160
COLUMBUS OEUFFS 6PC,3.85,541094600046
TOM BELG GRAPP,4.43,2523
