product_name,price,barcode
1.5KG SINASAPPEL PA,5.7,540010114850
CARLSB CREME ENT A,6.49,5433603975
BAGUETTE BEAU,2.49,542500984700
KIWI SUNGOLD XL,5.99,540011957673
6PC POMME PINK LAD,3.99,541147400141
MANGUE,2.19,540011954346
FRUIT & LEGUMES,1.65,2043564004020
CARPACCIO,4.02,204356
CARPACCIO,4.11,204356
CARPACCIO,4.11,204356
D365 CREME 20 CL,0.81,540060173433
CLEMENTINES A FEUI,6.31,"1,505 Kg x 4,19/ Kg"
TOM BELG GRAPP,5.35,"1,095 Kg x 4,89/ Kg"
AVOCAT,1.45,540011956924
NOIR DE NOIR C OR,2.55,541008120184
D365 CREME 20 CL,0.81,540060173433
MOZZARELLA MAXI,2.89,800043013526
MOZZARELLA MAXI,2.89,800043013526
FENOUILS,2.04,"0,585 Kg x 3,49/ Kg"
100GR JEUNES POUSS,1.19,540011236373
POMMEOUSE ROUGE,2.44,"0,115 Kg x 2,99/ Kg"
BIO HOUMOUS 200G,2.99,540011234720
BIO HOUMOUS 200G,2.99,540011234720
