product_name,price,barcode
CITRONS 500G,1.09,450011958451
NUTRI-BOOST -10%,-0.1,4500031507142
MOZZARELLA 125GR,2.59,4104071629771
4X125GR ACTIVIA Y.,3.35,541014641779
NUTRI-BOOST -10%,-0.34,541014641779
GRANA PADANO,4.99,450011958986
APPEL PINK LADY 6P,3.49,541147400141
NUTRI-BOOST -10%,-0.35,541147400141
APPEL PINK LADY 6P,3.49,541147400141
NUTRI-BOOST -10%,-0.35,541147400141
DANONE ACT FRAISES,2.49,541014641777
NUTRI-BOOST -10%,-0.25,541014641777
MOZZARELLA 125GR,1.45,800043013303
AVOCAT,1.89,540011956924
NUTRI-BOOST -10%,-0.18,540011956924
AVOCAT,1.89,540011956924
NUTRI-BOOST -10%,-0.19,540011956924
AVOCAT,1.89,540011956924
NUTRI-BOOST -10%,-0.19,540011956924
PENNE RIGATE 500G,2.15,800125012041
500G DE CECCO RADI,2.45,800125000365
MOZZARELLA 125GR,1.45,800043013303
2IEME A 1/2 PRIX,-0.73,540011234632
ORANGE,3.29,540011234632
NUTRI-BOOST -10%,-0.33,540011234632
PENNE RIGATE 500G,2.15,800125012041
REDUCTION S/ARTICLE,-4.6,540011234632
500G DE CECCO RADI,2.45,800125000365
REDUCTION S/ARTICLE,-0.15,800125000365
PENNE RIGATE 500G,2.15,800125012041
500G MACCHERONI,2.79,800125012114
REDUCTION S/ARTICLE,-0.32,800125012114
500G DE CECCO RADI,2.45,800125000365
REDUCTION S/ARTICLE,-0.32,800125000365
500G MACCHERONI,2.79,800125012114
REDUCTION S/ARTICLE,-0.32,800125012114
KIWI SUNGOLD XL,5.99,540011957673
NUTRI-BOOST -10%,-0.6,540011957673
NECTARINE JAUNE,7.61,"1,270 Kg x 5,99/ Kg"
16+,11.25,33CL LEFFE BL 6+3
VIDAVAL VAL 1.2E,1.2,217000000037
